Curve,Extension,Force
2,7.91,3.95
2,7.9,3.95
2,7.89,3.95
2,7.88,3.95
2,7.87,3.95
2,7.86,3.95
2,7.85,3.95
2,7.84,3.95
2,7.83,4
2,7.82,3.95
2,7.81,3.95
2,7.8,3.95
2,7.79,3.95
2,7.78,3.95
2,7.77,3.95
2,7.76,3.95
2,7.75,3.95
2,7.74,3.95
2,7.73,3.95
2,7.72,3.95
2,7.71,3.95
2,7.7,3.95
2,7.69,3.95
2,7.68,3.95
2,7.67,3.95
2,7.66,3.9
2,7.65,3.9
2,7.64,3.9
2,7.63,3.95
2,7.62,3.9
2,7.61,3.9
2,7.6,3.9
2,7.59,3.9
2,7.58,3.9
2,7.57,3.9
2,7.56,3.9
2,7.55,3.9
2,7.54,3.9
2,7.53,3.9
2,7.52,3.9
2,7.51,3.9
2,7.5,3.9
2,7.49,3.9
2,7.48,3.9
2,7.47,3.9
2,7.46,3.9
2,7.45,3.9
2,7.44,3.9
2,7.43,3.85
2,7.42,3.85
2,7.41,3.85
2,7.4,3.9
2,7.39,3.85
2,7.38,3.85
2,7.37,3.85
2,7.36,3.9
2,7.35,3.9
2,7.34,3.85
2,7.33,3.85
2,7.32,3.85
2,7.31,3.85
2,7.3,3.85
2,7.29,3.9
2,7.28,3.9
2,7.27,3.9
2,7.26,3.9
2,7.25,3.9
2,7.24,3.9
2,7.23,3.9
2,7.22,3.9
2,7.21,3.85
2,7.2,3.85
2,7.19,3.85
2,7.18,3.85
2,7.17,3.85
2,7.16,3.85
2,7.15,3.85
2,7.14,3.85
2,7.13,3.85
2,7.12,3.85
2,7.11,3.85
2,7.1,3.85
2,7.09,3.85
2,7.08,3.85
2,7.07,3.8
2,7.06,3.8
2,7.05,3.85
2,7.04,3.8
2,7.03,3.8
2,7.02,3.8
2,7.01,3.8
2,7,3.8
2,6.99,3.8
2,6.98,3.8
2,6.97,3.75
2,6.96,3.8
2,6.95,3.8
2,6.94,3.8
2,6.93,3.8
2,6.92,3.8
2,6.91,3.8
2,6.9,3.8
2,6.89,3.8
2,6.88,3.8
2,6.87,3.8
2,6.86,3.8
2,6.85,3.8
2,6.84,3.8
2,6.83,3.8
2,6.82,3.75
2,6.81,3.75
2,6.8,3.8
2,6.79,3.8
2,6.78,3.8
2,6.77,3.8
2,6.76,3.8
2,6.75,3.8
2,6.74,3.8
2,6.73,3.8
2,6.72,3.75
2,6.71,3.75
2,6.7,3.75
2,6.69,3.8
2,6.68,3.75
2,6.67,3.65
2,6.66,3.55
2,6.65,3.3
2,6.64,3.2
2,6.63,3.2
2,6.62,3.1
2,6.61,3.1
2,6.6,3.05
2,6.59,3
2,6.58,2.9
2,6.57,2.9
2,6.56,2.85
2,6.55,2.8
2,6.54,2.8
2,6.53,2.75
2,6.52,2.75
2,6.51,2.7
2,6.5,2.7
2,6.49,2.7
2,6.48,2.65
2,6.47,2.65
2,6.46,2.6
2,6.45,2.6
2,6.44,2.6
2,6.43,2.55
2,6.42,2.5
2,6.41,2.5
2,6.4,2.5
2,6.39,2.45
2,6.38,2.45
2,6.37,2.45
2,6.36,2.4
2,6.35,2.4
2,6.34,2.35
2,6.33,2.35
2,6.32,2.35
2,6.31,2.3
2,6.3,2.3
2,6.29,2.25
2,6.28,2.2
2,6.27,2.2
2,6.26,2.2
2,6.25,2.15
2,6.24,2.15
2,6.23,2.15
2,6.22,2.1
2,6.21,2.1
2,6.2,2.1
2,6.19,2.05
2,6.18,2.05
2,6.17,2.05
2,6.16,2.05
2,6.15,2
2,6.14,2
2,6.13,2
2,6.12,2
2,6.11,1.95
2,6.1,1.95
2,6.09,1.95
2,6.08,1.9
2,6.07,1.9
2,6.06,1.9
2,6.05,1.9
2,6.04,1.9
2,6.03,1.85
2,6.02,1.9
2,6.01,1.9
2,6,1.8
2,5.99,1.8
2,5.98,1.8
2,5.97,1.8
2,5.96,1.8
2,5.95,1.8
2,5.94,1.75
2,5.93,1.8
2,5.92,1.8
2,5.91,1.75
2,5.9,1.75
2,5.89,1.75
2,5.88,1.75
2,5.87,1.7
2,5.86,1.7
2,5.85,1.7
2,5.84,1.7
2,5.83,1.7
2,5.82,1.75
2,5.81,1.75
2,5.8,1.75
2,5.79,1.75
2,5.78,1.8
2,5.77,1.8
2,5.76,1.9
2,5.75,1.95
2,5.74,2
2,5.73,2.05
2,5.72,2.1
2,5.71,2.2
2,5.7,2.3
2,5.69,2.35
2,5.68,2.5
2,5.67,2.55
2,5.66,2.6
2,5.65,2.7
2,5.64,2.75
2,5.63,2.8
2,5.62,2.9
2,5.61,2.95
2,5.6,2.95
2,5.59,3
2,5.58,3
2,5.57,3
2,5.56,3.05
2,5.55,3.05
2,5.54,3.1
2,5.53,3.1
2,5.52,3.15
2,5.51,3.15
2,5.5,3.15
2,5.49,3.2
2,5.48,3.2
2,5.47,3.2
2,5.46,3.2
2,5.45,3.2
2,5.44,3.2
2,5.43,3.25
2,5.42,3.2
2,5.41,3.2
2,5.4,3.2
2,5.39,3.2
2,5.38,3.2
2,5.37,3.2
2,5.36,3.2
