Test,result,spec lower,spec upper,range,to lower,to upper,% from lim,% from lim up,closest_to_spec
gap creation,1.663,1.05,2.5,1.45,0.613,0.837,42.3,57.7,0.423
gap creation,1.798,1.05,2.5,1.45,0.748,0.702,51.6,48.4,0.484
gap creation,1.858,1.05,2.5,1.45,0.808,0.642,55.7,44.3,0.443
gap creation,1.769,1.05,2.5,1.45,0.719,0.731,49.6,50.4,0.496
gap creation,1.874,1.05,2.5,1.45,0.824,0.626,56.8,43.2,0.432
gap creation,1.542,1.05,2.5,1.45,0.492,0.958,33.9,66.1,0.339
gap creation,1.865,1.05,2.5,1.45,0.815,0.635,56.2,43.8,0.438
gap creation,1.69,1.05,2.5,1.45,0.64,0.81,44.1,55.9,0.441
gap creation,1.765,1.05,2.5,1.45,0.715,0.735,49.3,50.7,0.493
gap creation,1.674,1.05,2.5,1.45,0.624,0.826,43,57,0.43
gap creation,1.71,1.05,2.5,1.45,0.66,0.79,45.5,54.5,0.455
gap creation,1.827,1.05,2.5,1.45,0.777,0.673,53.6,46.4,0.464
gap creation,1.895,1.05,2.5,1.45,0.845,0.605,58.3,41.7,0.417
gap creation,1.556,1.05,2.5,1.45,0.506,0.944,34.9,65.1,0.349
gap creation,1.588,1.05,2.5,1.45,0.538,0.912,37.1,62.9,0.371
gap creation,1.815,1.05,2.5,1.45,0.765,0.685,52.8,47.2,0.472
gap creation,1.655,1.05,2.5,1.45,0.605,0.845,41.7,58.3,0.417
gap creation,1.595,1.05,2.5,1.45,0.545,0.905,37.6,62.4,0.376
gap creation,1.622,1.05,2.5,1.45,0.572,0.878,39.4,60.6,0.394
gap creation,1.927,1.05,2.5,1.45,0.877,0.573,60.5,39.5,0.395
gap creation,1.654,1.05,2.5,1.45,0.604,0.846,41.7,58.3,0.417
gap creation,1.795,1.05,2.5,1.45,0.745,0.705,51.4,48.6,0.486
gap creation,1.666,1.05,2.5,1.45,0.616,0.834,42.5,57.5,0.425
gap creation,1.634,1.05,2.5,1.45,0.584,0.866,40.3,59.7,0.403
gap creation,0.548,1.05,2.5,1.45,-0.502,1.952,-34.6,134.6,-0.346
gap creation,3.147,1.05,2.5,1.45,2.097,-0.647,144.6,-44.6,-0.446
gap creation,3.015,1.05,2.5,1.45,1.965,-0.515,135.5,-35.5,-0.355
